Ref,Val,Package,PosX,PosY,Rot,Side
"D135","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",93.000000,-103.000000,180.000000,top
"D136","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",96.000000,-103.000000,180.000000,top
"D137","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",99.000000,-103.000000,180.000000,top
"D138","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",102.000000,-103.000000,180.000000,top
"D139","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",106.242640,-104.757359,135.000000,top
"D140","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",108.000000,-109.000000,90.000000,top
"D141","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",106.000000,-109.000000,90.000000,top
"D142","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",108.782634,-111.965252,120.000000,top
"D143","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",110.978786,-114.161404,150.000000,top
"D144","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",114.000000,-115.000000,180.000000,top
"D145","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",117.000000,-115.000000,180.000000,top
"D146","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",120.000000,-115.000000,180.000000,top
"D147","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",123.000000,-115.000000,180.000000,top
"D148","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",126.000000,-115.000000,180.000000,top
"D149","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",129.000000,-115.000000,180.000000,top
"D150","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",138.000000,-115.000000,180.000000,top
"D151","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",136.281152,-118.709933,126.000000,top
"D152","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",138.209932,-120.781153,144.000000,top
"D153","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",140.718846,-122.059509,162.000000,top
"D154","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",143.500000,-122.500000,180.000000,top
"D155","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",146.500000,-122.500000,180.000000,top
"D156","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",149.500000,-122.500000,180.000000,top
"D157","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",141.000000,-115.000000,180.000000,top
"D158","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",144.000000,-115.000000,180.000000,top
